symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal
SXP-USDT,2025-05-12 19:00:00,0.2241,41.879973378921655,-0.0006269076559402287,0.0010722448885986727,0,0.1422071160183873,-2.182453077258841,0.00900495272399815,2.3772970461831155,0.0,NEUTRO
DGB-USDT,2025-05-12 19:00:00,0.01037,38.97216856156982,-7.517340516272585e-05,-1.6992785478953675e-05,0,-0.04377776354051204,-3.669298653042262,0.00865674545277706,48.58723932794845,0.0,NEUTRO
XEM-USDT,2025-05-12 19:00:00,0.018896,40.737901423118075,-7.327080550890638e-05,-3.231434861623802e-06,0,0.06387004814088133,-2.0374306599616414,0.008109261630388387,33.396671163963994,0.0,NEUTRO
STRAX-USDT,2025-05-12 19:00:00,0.05527,37.943802857857804,-0.00043606166386216116,-0.0001820372351625612,0,0.09955083473086783,-2.8305203938115335,0.004909090909090974,36.07432649597434,0.0,NEUTRO
WAVES-USDT,2025-05-12 19:00:00,1.3242,51.947631368530274,0.010163716915531529,0.013151767986820764,1,0.5097046139868887,-0.13574660633484342,0.008606900754055902,8.102469432182325,0.0,NEUTRO
ICX-USDT,2025-05-12 19:00:00,0.1082,43.16318338226648,-0.00017697715249449797,0.00028541150301528525,0,0.11347810799789212,-1.9927536231884,0.010270774976657293,6.698122902638821,0.0,NEUTRO
ONT-USDT,2025-05-12 19:00:00,0.16927,43.98749826666977,-0.00033644925875764287,0.0004846851948507991,0,0.1689872160872593,-1.2369449792869964,0.014443245834831586,54.81293219897173,0.0,NEUTRO
BAND-USDT,2025-05-12 19:00:00,0.9297,42.13260801041899,-0.002208525713313647,0.002950401686607238,0,0.0649635367395802,-2.8628147528993817,0.011863299956464957,0.34009553080078203,0.0,NEUTRO
NKN-USDT,2025-05-12 19:00:00,0.0396,35.861681553197414,-0.0004630933437839366,-0.00011173731428713288,0,-0.004329411069724554,-5.714285714285713,0.01278772378516635,24.213778519364297,0.0,NEUTRO
COTI-USDT,2025-05-12 19:00:00,0.0804,32.89457804047045,-0.0009576433100191989,-0.00013709324748706326,0,-0.025167532378686127,-5.522914218566388,0.004999999999999893,8.839481482064716,0.0,NEUTRO
